epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,797.137,0.72185,3.35805,1.14012,0.3766,0.44796,0.41235,0.32393,0.87445,3.14065,1.15891,0.0702041,0.00331066,0.00331066
2,1586.43,0.60308,2.01099,1.04403,0.66385,0.71791,0.77077,0.59541,0.81217,2.2396,1.14295,0.0369153,0.00335522,0.00335522
